ID,Posted at,Screen name,Text
814210868833583104,2016-12-28 20:46:13 +0000,WhiteHouse,RT @Charlie44: NEW: @WhiteHouse report on how we've boosted competition & need to curb hidden fees across the economy: https://t.co/Ve9gTv2wrs
814208723384233984,2016-12-28 20:37:41 +0000,WhiteHouse,White House petitions have inspired real change over the past 5 years. A look back at how you've made a difference:… https://t.co/YuajetKhYM
814203185631993856,2016-12-28 20:15:41 +0000,WhiteHouse,"RT @Interior: #OTD in 1973, the Endangered Species Act became law. Check out 10 #WildlifeWin success stories:… https://t.co/h6OPVAlLpD"
814201329069555712,2016-12-28 20:08:18 +0000,WhiteHouse,RT @letsmove: Welcoming kid chefs from across the country to the #KidsStateDinner: One of our favorite moments from 2016 →… https://t.co/mFMjoni3rD
814188658853089280,2016-12-28 19:17:57 +0000,WhiteHouse,"In 2010, we went behind the scenes of a presidential trip with the staff who make it happen. See the full series:… https://t.co/1U3kFGaCfO"
814173589884850177,2016-12-28 18:18:05 +0000,WhiteHouse,RT @StateDept: Secretary of State @JohnKerry comments on U.S. engagement with Israel. https://t.co/CpROmvk5nt
814154478068924416,2016-12-28 17:02:08 +0000,WhiteHouse,RT @StateDept: .@JohnKerry: @POTUS has been deeply committed to Israel & its security. That commitment has guided his pursuit of p… https://t.co/yfOsVlydim
813934356683255808,2016-12-28 02:27:27 +0000,WhiteHouse,"RT @whitehouseostp: Today we honor Vera Rubin, who did groundbreaking work on dark matter & encouraged women to pursue #science  https://t.co/HbSmCWehcH"
813926666485596165,2016-12-28 01:56:53 +0000,WhiteHouse,"RT @NSC44: ""Two nations that were once the bitterest of adversaries can become the closest of allies""-@Rhodes44. 
https://t.co/734FRPOJEx"
813912677395349504,2016-12-28 01:01:18 +0000,WhiteHouse,"""We could sense her glee from the next room over before we could even see her."" https://t.co/q15g7TkUIo https://t.co/ok96guRxq7"
813905767141023744,2016-12-28 00:33:51 +0000,WhiteHouse,"""What's the story to still dancing at 106?"" Get the story behind the White House's most-watched video:… https://t.co/eKK4M8CswD"
813898912125906949,2016-12-28 00:06:36 +0000,WhiteHouse,"""Even the deepest wounds of war can give way to friendship and lasting peace."" —@POTUS  with PM Abe at Pearl Harbor https://t.co/JwA5Md5cDs"
813890494795227136,2016-12-27 23:33:09 +0000,WhiteHouse,"RT @AmbassadorRice: Today @POTUS & @AbeShinzo demonstrated power of reconciliation as they honored those who perished at #PearlHarbor.
https://t.co/2Ir2A2KW21"
813888661913829377,2016-12-27 23:25:52 +0000,WhiteHouse,"""I hope that together we send a message to the world that there is more to be won in peace than in war."" —@POTUS https://t.co/TRLjXfpV1v"
813881311538593793,2016-12-27 22:56:40 +0000,WhiteHouse,“The character of nations is tested in war but it is defined in peace” —@POTUS at Pearl Harbor https://t.co/TRLjXfpV1v
813878445465882625,2016-12-27 22:45:17 +0000,WhiteHouse,"Today, @POTUS made a visit to Pearl Harbor with Japanese Prime Minister Shinzo Abe. Watch: https://t.co/JwA5Md5cDs"
813876350662705152,2016-12-27 22:36:57 +0000,WhiteHouse,"""Here in this quiet harbor, we honor those we lost, and we give thanks for all that our two nations have won—togeth… https://t.co/c9kP5yAAPz"
813875457624014848,2016-12-27 22:33:24 +0000,WhiteHouse,"""I hope that together we send a message to the world that there is more to be won in peace than in war."" —@POTUS at Pearl Harbor with PM Abe"
813874974113067008,2016-12-27 22:31:29 +0000,WhiteHouse,"""We cannot choose the history that we inherit. But we can choose what lessons to draw from it"" —@POTUS"
813874485900283904,2016-12-27 22:29:33 +0000,WhiteHouse,"""Even when hatred burns hottest...we must resist the urge to demonize those who are different."" —@POTUS at Pearl Harbor"
813874280396099584,2016-12-27 22:28:44 +0000,WhiteHouse,"""The fruits of peace always outweigh the plunder of war. This is the enduring truth of this hallowed harbor."" —… https://t.co/rME2vKQ4UN"
813873694527389696,2016-12-27 22:26:24 +0000,WhiteHouse,"RT @WHLive: ""It has helped underwrite an international order that has prevented another World War"" —@POTUS on America's alliance with Japan"
813873411923574784,2016-12-27 22:25:17 +0000,WhiteHouse,"""I would ask all our Pearl Harbor and World War II veterans...to please stand or raise your hands. A grateful natio… https://t.co/iKCjo7J4Kv"
813872971324522497,2016-12-27 22:23:32 +0000,WhiteHouse,"""Here at Pearl Harbor, America’s first battle of the Second World War roused a nation. Here, in so many ways, America came of age."" —@POTUS"
813872732349734912,2016-12-27 22:22:35 +0000,WhiteHouse,"RT @WHLive: ""Chief Petty Officer John Finn...manned a .50-caliber machine gun for more than two hours and was wounded more than 20 times"" —@POTUS"
813872697071570944,2016-12-27 22:22:26 +0000,WhiteHouse,"RT @WHLive: ""Harry Pang...in the face of withering fire, worked to douse burning planes until he gave his last full measure of devotion"" —@POTUS"
813872521858732032,2016-12-27 22:21:44 +0000,WhiteHouse,"RT @WHLive: ""We honor Americans like Jim Downing...As Jim fought to save his ship, he simultaneously gathered the names of the fallen"" —@POTUS"
813872309635260416,2016-12-27 22:20:54 +0000,WhiteHouse,"""That morning, the ranks on men’s shoulders defined them less than the courage in their hearts."" —@POTUS honors tho… https://t.co/7fDlMWXDUJ"
813871873545170944,2016-12-27 22:19:10 +0000,WhiteHouse,"""This harbor is a sacred place... We think of the more than 2,400 American patriots...manning Heaven’s rails for all eternity."" —@POTUS"
813871664115175424,2016-12-27 22:18:20 +0000,WhiteHouse,"""Even the deepest wounds of war can give way to friendship and lasting peace."" —@POTUS and Japanese PM Abe honor those lost at Pearl Harbor"
813871547190562821,2016-12-27 22:17:52 +0000,WhiteHouse,"""Thank you for...your presence here today—a historic gesture that speaks to the power of reconciliation"" —@POTUS at Pearl Harbor w/ PM Abe"
813867797562396672,2016-12-27 22:02:58 +0000,WhiteHouse,RT @WHLive: Watch live as @POTUS and Japanese Prime Minister Shinzo Abe make a historic visit to Pearl Harbor:… https://t.co/JV2alhj4SI
813858276685258752,2016-12-27 21:25:08 +0000,WhiteHouse,Tune in at 5:05pm ET as @POTUS makes a historic visit to Pearl Harbor with Japanese Prime Minister Shinzo Abe:… https://t.co/BOoZvUvHt3
